id,category,question,answer,keywords,source
CERT-011,Ensayos,¿Qué significa que un ensayo sea conforme?,Significa que el resultado obtenido cumple los criterios definidos en el procedimiento o requisito técnico utilizado para la evaluación.,conforme|resultado|ensayo|cumplimiento,Procedimiento de ensayos
CERT-012,Ensayos,¿Qué significa que un ensayo sea no conforme?,Significa que el resultado obtenido no cumple uno o más criterios técnicos definidos para la evaluación del producto.,no conforme|resultado|ensayo|incumplimiento,Procedimiento de ensayos
CERT-013,No conformidades,¿Qué es una no conformidad?,Es un incumplimiento detectado en la documentación, en las características del producto o en los resultados de una evaluación o ensayo.,no conformidad|incumplimiento|observación,Procedimiento de gestión de no conformidades
CERT-014,No conformidades,¿Cómo se corrige una no conformidad documental?,El solicitante debe presentar el documento corregido o los antecedentes adicionales solicitados. Luego se realiza una nueva revisión para verificar la subsanación.,corrección|documentación|subsanación|no conformidad,Procedimiento de gestión de no conformidades
CERT-015,No conformidades,¿Se puede repetir un ensayo no conforme?,La repetición puede realizarse cuando el procedimiento aplicable lo permita y exista una justificación documentada para efectuar una nueva evaluación.,repetición|ensayo|no conforme|reevaluación,Procedimiento de gestión de no conformidades
CERT-016,Plazos,¿Cuánto demora un proceso de certificación?,El plazo depende de la complejidad del producto, la calidad de los antecedentes, la disponibilidad de muestras y la necesidad de realizar ensayos o correcciones.,plazo|duración|certificación|tiempo,Guía de preguntas frecuentes
CERT-017,Plazos,¿Las solicitudes de antecedentes afectan el plazo?,Sí. Cuando faltan documentos o se requiere una corrección, el proceso puede permanecer pendiente hasta recibir la información solicitada.,plazo|antecedentes|pendiente|documentos,Guía de preguntas frecuentes
CERT-018,Resultados,¿Cuándo se emite el resultado final?,El resultado final se emite cuando la revisión documental, la evaluación técnica y los ensayos aplicables han finalizado y no existen observaciones pendientes.,resultado final|cierre|evaluación|certificación,Procedimiento de cierre del proceso
CERT-019,Resultados,¿Qué ocurre si el producto cumple los requisitos?,Se registra el resultado conforme y se continúa con la emisión del documento final definido para el proceso de certificación.,cumplimiento|conforme|resultado|documento final,Procedimiento de cierre del proceso
CERT-020,Resultados,¿Qué ocurre si el producto no cumple los requisitos?,Se informa la no conformidad y las condiciones aplicables para corregir, complementar o cerrar la evaluación según el procedimiento correspondiente.,incumplimiento|no conforme|resultado|corrección,Procedimiento de cierre del proceso
CERT-021,Trazabilidad,¿Para qué sirve el identificador de una solicitud?,Permite relacionar documentos, muestras, evaluaciones, observaciones y resultados con un proceso específico y mantener su trazabilidad.,identificador|trazabilidad|solicitud|documentos,Procedimiento de trazabilidad
CERT-022,Trazabilidad,¿Qué información debe conservarse durante el proceso?,Se deben conservar los antecedentes recibidos, registros de revisión, resultados de ensayos, observaciones, correcciones y decisiones finales.,registros|trazabilidad|evidencia|historial,Procedimiento de trazabilidad
CERT-023,Cierre,¿Cuándo se considera cerrada una solicitud?,Una solicitud se considera cerrada cuando se emite el resultado final o cuando el proceso termina formalmente por desistimiento, incumplimiento no subsanado u otra causa documentada.,cierre|solicitud|resultado|desistimiento,Procedimiento de cierre del proceso
CERT-024,Alcance,¿Las respuestas del agente reemplazan una evaluación técnica?,No. El agente entrega orientación basada en su documentación académica. Las respuestas no reemplazan evaluaciones profesionales, decisiones oficiales ni requisitos regulatorios.,agente|orientación|limitaciones|evaluación,Política de uso del agente
